string,occurance,result,prob
'0',2,p(1|0),0.5207039337474121
'1',4,p(1|1),0.5110741971207088
'00',0,p(1|00),0.5207039337474121
'01',1,p(1|01),0.8871709685663174
'10',2,p(1|10),0.5027005130974885
'11',2,p(1|11),0.5014444604940056
'000',0,p(1|000),0.5207039337474121
'001',0,p(1|001),0.8871709685663174
'010',0,p(1|010),0.5027005130974885
'011',1,p(1|011),0.8849487216524627
'100',0,p(1|100),0.5207039337474121
'101',1,p(1|101),0.9739625312076117
'110',1,p(1|110),0.11600781071480504
'111',1,p(1|111),0.1157179524216936
'0000',0,p(1|0000),0.5207039337474121
'0001',0,p(1|0001),0.8871709685663174
'0010',0,p(1|0010),0.5027005130974885
'0011',0,p(1|0011),0.8849487216524627
'0100',0,p(1|0100),0.5207039337474121
'0101',0,p(1|0101),0.9739625312076117
'0110',0,p(1|0110),0.11600781071480504
'0111',1,p(1|0111),0.026704142866544673
'1000',0,p(1|1000),0.5207039337474121
'1001',0,p(1|1001),0.8871709685663174
'1010',0,p(1|1010),0.5027005130974885
'1011',1,p(1|1011),0.9734497049967221
'1100',0,p(1|1100),0.5207039337474121
'1101',0,p(1|1101),0.9739625312076117
'1110',1,p(1|1110),0.026771033241878083
'1111',0,p(1|1111),0.1157179524216936
'00000',0
'00001',0
'00010',0
'00011',0
'00100',0
'00101',0
'00110',0
'00111',0
'01000',0
'01001',0
'01010',0
'01011',0
'01100',0
'01101',0
'01110',1
'01111',0
'10000',0
'10001',0
'10010',0
'10011',0
'10100',0
'10101',0
'10110',0
'10111',1
'11000',0
'11001',0
'11010',0
'11011',0
'11100',0
'11101',0
'11110',0
'11111',0
